z,r,C
0,0.001,3488.36
0,0.00105,3488.2
0,0.0011025,3488.02
0,0.00115763,3487.83
0,0.00121551,3487.62
0,0.00127628,3487.38
0,0.0013401,3487.12
0,0.0014071,3486.83
0,0.00147746,3486.52
0,0.00155133,3486.17
0,0.00162889,3485.79
0,0.00171034,3485.37
0,0.00179586,3484.9
0,0.00188565,3484.39
0,0.00197993,3483.82
0,0.00207893,3483.2
0,0.00218287,3482.51
0,0.00229202,3481.75
0,0.00240662,3480.91
0,0.00252695,3479.99
0,0.0026533,3478.98
0,0.00278596,3477.86
0,0.00292526,3476.63
0,0.00307152,3475.27
0,0.0032251,3473.77
0,0.00338635,3472.12
0,0.00355567,3470.31
0,0.00373346,3468.3
0,0.00392013,3466.1
0,0.00411614,3463.67
0,0.00432194,3460.99
0,0.00453804,3458.05
0,0.00476494,3454.8
0,0.00500319,3451.23
0,0.00525335,3447.29
0,0.00551602,3442.96
0,0.00579182,3438.19
0,0.00608141,3432.95
0,0.00638548,3427.18
0,0.00670475,3420.83
0,0.00703999,3413.85
0,0.00739199,3406.17
0,0.00776159,3397.73
0,0.00814967,3388.46
0,0.00855715,3378.27
0,0.00898501,3367.09
0,0.00943426,3354.82
0,0.00990597,3341.35
0,0.0104013,3326.59
0,0.0109213,3310.41
0,0.0114674,3292.69
0,0.0120408,3273.3
0,0.0126428,3252.1
0,0.0132749,3228.92
0,0.0139387,3203.63
0,0.0146356,3176.04
0,0.0153674,3145.99
0,0.0161358,3114.28
0,0.0169426,3080.3
0,0.0177897,3042.98
0,0.0186792,3002.16
0,0.0196131,2957.68
0,0.0205938,2909.39
0,0.0216235,2857.15
0,0.0227047,2800.87
0,0.0238399,2740.45
0,0.0250319,2675.89
0,0.0262835,2607.14
0,0.0275977,2534.32
0,0.0289775,2457.52
0,0.0304264,2376.97
0,0.0319477,2292.93
0,0.0335451,2205.8
0,0.0352224,2116.06
0,0.0369835,2024.36
0,0.0388327,1931.41
0,0.0407743,1838.08
0,0.042813,1745.34
0,0.0449537,1654.27
0,0.0472014,1566.01
0,0.0495614,1481.72
0,0.0520395,1402.51
0,0.0546415,1329.43
0,0.0573736,1263.27
0,0.0602422,1204.59
0,0.0632544,1153.52
0,0.0664171,1109.75
0,0.0697379,1072.46
0,0.0732248,1040.31
0,0.0768861,1011.5
0,0.0807304,983.942
0,0.0847669,955.504
0,0.0890052,924.292
0,0.0934555,889.02
0,0.0981283,849.351
0,0.103035,806.085
0,0.108186,761.143
0,0.113596,717.253
0,0.119276,677.296
0,0.125239,643.449
0,0.131501,616.337
0,0.138076,594.597
0,0.14498,575.102
0,0.152229,554.092
0,0.159841,528.922
0,0.167833,499.583
0,0.176224,469.044
0,0.185035,441.713
0,0.194287,420.502
0,0.204002,404.38
0,0.214202,388.756
0,0.224912,369.274
0,0.236157,346.166
0,0.247965,324.447
0,0.260363,308.391
0,0.273382,295.902
0,0.287051,280.892
0,0.301403,262.215
0,0.316473,245.831
0,0.332297,234.603
0,0.348912,222.624
0,0.366358,207.03
0,0.384675,194.314
0,0.403909,185.077
0,0.424105,172.562
0,0.44531,160.711
0,0.467575,152.55
